treatment,uniqueID,eclosion_date,free_run_cohort,eclosion_days,well_id,organism,trik_ID,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,trik_cohort,Days_survived
RT,11o52,10/6/17,3,35,C7,fly,24,1,16:01,,,,9,
RT,12w21,10/6/17,3,36,A10,fly,9,2,16:02,,,,9,
RT,13r8,10/6/17,3,33,A5,fly,13,1,16:02,,,,9,
RT,13r13,10/6/17,3,33,A9,fly,16,1,16:03,,,,9,
RT,13r17,10/6/17,3,33,A12,fly,17,2,16:02,,,,9,
RT,13o28,10/6/17,3,31,B6,fly,7,1,16:02,,,,9,
RT,13o60,10/6/17,3,31,D3,fly,30,1,16:01,,,,9,
RT,14b13,10/6/17,3,30,B3,fly,30,2,16:02,,,,9,
,3w26,10/7/17,4,42,B3,fly,26,1,17:24,,,,10,
RT,12b3,10/7/17,4,33,A4,fly,3,2,17:25,,,,10,
RT,13o29,10/7/17,4,32,B7,fly,4,1,17:25,,,,10,
RT,13o45,10/7/17,4,32,C5,fly,13,2,17:26,,,,10,
RT,14r44,10/7/17,4,31,D1,fly,10,1,17:26,,,,10,
RT,2b23,10/8/17,5,45,B8,fly,14,1,11:48,,,,11,
RT,13r1,10/8/17,5,33,A1,fly,20,1,11:47,10/9/17,9:35,escaped,11,
RT,12b6,10/9/17,6,35,A8,wasp,17,1,10:18,,,,12,
RT,14r35,10/9/17,6,33,C6,fly,16,2,10:18,,,,12,
RT,16F3,10/9/17,6,31,A7,fly,23,1,10:18,,,,12,
RT,2b30,10/10/17,7,47,A10,fly,2,1,15:52,,,,13,
RT,16o8,10/10/17,7,32,G4,fly,11,1,15:53,,,,13,
RT,16o32,10/10/17,7,32,E2,fly,6,1,15:53,,,,13,
RT,16w2,10/10/17,7,32,C7,fly,25,2,15:52,,,,13,
RT,16w8,10/10/17,7,32,F1,fly,21,2,15:53,,,,13,
RT,18w16,10/10/17,7,30,F9,fly,19,1,15:54,10/13/17,13:39,frozen,13,
RT,4w55,10/11/17,8,45,D1,fly,21,1,16:15,,,,14,
RT,16w22,10/11/17,8,33,C10,fly,20,1,16:15,,,,14,
RT,18b5,10/11/17,8,31,F5,fly,24,1,16:16,,,,14,
RT,18w1,10/11/17,8,31,D9,fly,30,2,16:14,,,,14,
RT,3o41,10/12/17,9,47,B11,fly,28,2,20:21,,,,15,
RT,3w38,10/12/17,9,47,B10,fly,32,2,20:21,,,,15,
RT,5w2,10/12/17,9,45,A2,fly,29,2,20:21,,,,15,
RT,13o11,10/12/17,9,37,A7,fly,1,2,20:21,,,,15,
RT,18w20,10/12/17,9,32,F7,fly,19,2,20:21,,,,15,
RT,19o28,10/12/17,9,31,G1,fly,31,2,20:21,,,,15,
RT,4o70,10/13/17,10,47,E4,fly,25,1,14:03,,,,16,
RT,20r4,10/13/17,10,31,F12,fly,2,2,17:33,10/14/17,10:55,not completely eclosed when put in trikinetics,,
RT,20b16,10/13/17,10,31,E7,fly,7,2,14:03,,,,16,
RT,2b39,10/14/17,11,33,B3,fly,23,2,11:22,,,,17,
RT,3o14,10/14/17,11,33,A9,fly,11,2,11:21,,,,17,
RT,19o17,10/14/17,11,33,E12,fly,,,,10/14/17,11:21,not put into trikinetics because it died,17,
