"","treatment","uniqueID","eclosion_date","trik_cohort","eclosion_days","well_id","organism","trik_ID","Trik_monitor","Trikinetics_entry_LD_time","Trikinetic_exit_date","Trikinetics_exit_LD_time","notes_2","Free_run_trik_monitor","Free_run_trik_position","Free_run_entry_date","Free_run_entry_time","notes_3"
"17","RT","4o76","9/28/17",1,32,"E9","fly",4,2,"10:11","10/13/17","21:04","",3,8,"10/13/17","21:04",NA
"18","RT","5b65","9/28/17",1,31,"E6","fly",28,2,"10:11","10/12/17","20:18","",2,24,"10/12/17","20:18",NA
"19","RT","4o5","9/29/17",1,33,"A3","fly",19,2,"12:20","10/13/17","21:04","",3,25,"10/13/17","21:04",NA
"20","RT","4o13","9/29/17",1,33,"A9","fly",12,2,"12:16","","","",NA,NA,"","",NA
"21","RT","4o17","9/29/17",1,33,"A12","fly",10,2,"12:16","10/3/17","9:40","frozen",NA,NA,"","",NA
"22","RT","5w4","9/29/17",1,32,"A3","fly",14,2,"12:20","10/12/17","20:18","",3,2,"10/12/17","20:18",NA
"23","RT","5w22","9/29/17",1,32,"A9","fly",24,2,"12:21","10/12/17","20:18","",3,21,"10/12/17","20:18",NA
"24","RT","5w69","9/29/17",1,32,"C2","fly",5,2,"12:22","10/12/17","20:18","",3,22,"10/12/17","20:18",NA
"25","RT","5b11","9/29/17",1,32,"C11","fly",7,2,"12:23","10/12/17","20:18","",3,14,"10/12/17","20:18",NA
"26","RT","5b24","9/29/17",1,32,"D3","fly",20,2,"12:24","10/12/17","20:18","",3,19,"10/12/17","20:18",NA
"28","RT","5b34","9/29/17",1,32,"D9","fly",26,2,"12:25","10/12/17","20:18","",3,11,"10/12/17","20:18",NA
"29","RT","4w51","9/30/17",1,34,"C9","fly",21,2,"9:46","10/5/17","12:45","",NA,NA,"","",NA
"30","RT","10w73","10/2/17",1,30,"C6","fly",29,2,"11:23","10/12/17","20:18","",3,12,"10/12/17","20:18",NA
"31","RT","10o46","10/2/17",1,30,"E6","fly",15,2,"11:22","10/12/17","20:18","",3,13,"10/12/17","20:18",NA
"32","RT","2b18","10/3/17",1,40,"A6","fly",6,2,"10:25","10/12/17","20:18","",3,26,"10/12/17","",NA
"33","RT","10w12","10/3/17",1,31,"A4","fly",10,2,"10:26","10/12/17","20:18","",3,27,"10/12/17","20:18",NA
"34","RT","10o49","10/3/17",1,31,"E7","fly",2,2,"10:24","10/12/17","20:18","",3,28,"10/12/17","20:18",NA
"35","RT","11w31","10/3/17",1,32,"B3","fly",11,2,"10:31","10/12/17","20:18","",3,15,"10/12/17","20:18",NA
"36","RT","11o53","10/3/17",1,32,"C8","fly",32,2,"10:25","10/12/17","20:18","",3,16,"10/12/17","20:18",NA
"49","RT","10o3","10/6/17",3,34,"C8","fly",16,2,"16:01","10/9/17","9:35","",NA,NA,"","",NA
"51","RT","11o51","10/6/17",3,35,"C6","fly",25,2,"16:00","10/10/17","14:56","cotton dried up died; frozen",NA,NA,"","",NA
"53","RT","12w21","10/6/17",3,36,"A10","fly",9,2,"16:02","10/14/17","20:10","",4,16,"10/14/17","20:10",NA
"56","RT","13r17","10/6/17",3,33,"A12","fly",17,2,"16:02","10/14/17","20:10","",4,32,"10/14/17","20:10",NA
"59","RT","14b13","10/6/17",3,30,"B3","fly",30,2,"16:02","10/11/17","15:15","FROZEN",NA,NA,"","",NA
"61","RT","12b3","10/7/17",4,33,"A4","fly",3,2,"17:25","10/15/17","20:08","",4,27,"10/15/17","20:11",NA
"63","RT","13o45","10/7/17",4,32,"C5","fly",13,2,"17:26","10/15/17","20:08","",4,25,"10/15/17","20:11",NA
"68","RT","14r35","10/9/17",6,33,"C6","fly",16,2,"10:18","","","",NA,NA,"","",NA
"73","RT","16w2","10/10/17",7,32,"C7","fly",25,2,"15:52","","","",NA,NA,"","",NA
"74","RT","16w8","10/10/17",7,32,"F1","fly",21,2,"15:53","","","",NA,NA,"","",NA
"79","RT","18w1","10/11/17",8,31,"D9","fly",30,2,"16:14","","","",NA,NA,"","",NA
"80","RT","3o41","10/12/17",9,47,"B11","fly",28,2,"20:21","","","",NA,NA,"","",NA
"81","RT","3w38","10/12/17",9,47,"B10","fly",32,2,"20:21","","","",NA,NA,"","",NA
"82","RT","5w2","10/12/17",9,45,"A2","fly",29,2,"20:21","","","",NA,NA,"","",NA
"83","RT","13o11","10/12/17",9,37,"A7","fly",1,2,"20:21","","","",NA,NA,"","",NA
"84","RT","18w20","10/12/17",9,32,"F7","fly",19,2,"20:21","","","",NA,NA,"","",NA
"85","RT","19o28","10/12/17",9,31,"G1","fly",31,2,"20:21","","","",NA,NA,"","",NA
"87","RT","20r4","10/13/17",10,31,"F12","fly",2,2,"17:33","10/14/17","10:55","not completely eclosed when put in trikinetics, stuck into pupae",NA,NA,"","",NA
"88","RT","20b16","10/13/17",10,31,"E7","fly",7,2,"14:03","","","",NA,NA,"","",NA
"89","RT","2b39","10/14/17",11,33,"B3","fly",23,2,"11:22","","","",NA,NA,"","",NA
"90","RT","3o14","10/14/17",11,33,"A9","fly",11,2,"11:21","","","",NA,NA,"","",NA
