¥éËCohort_date,Cohort_day,Well_ID,Eclosion_date,Eclosion_day,Sample_saved,Host,Notes,treatment,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3
2017-08-30,7,G10,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D6,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D5,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E8,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D11,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,G2,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,G4,2017-10-04,35,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A3,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A4,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C1,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C4,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,F4,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,F7,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,F11,2017-10-04,34,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,G4,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,G7,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,H11,2017-10-04,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,A4,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,B7,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,D1,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,D12,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,E1,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,F4,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,F8,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,F9,2017-10-04,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D5,2017-10-05,36,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,E10,2017-10-05,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,D5,2017-10-05,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,C5,2017-10-05,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,F4,2017-10-06,29,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,A11,2017-10-07,44,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,C5,2017-10-07,44,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,D7,2017-10-07,44,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A1,2017-10-10,40,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,B8,2017-10-10,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,B11,2017-10-10,33,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C8,2017-10-11,41,1,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,B7,2017-10-11,34,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,C6,2017-10-13,50,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,C7,2017-10-13,50,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,C4,2017-10-13,45,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,B1,2017-10-14,51,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,G2,2017-10-14,44,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,H12,2017-10-15,45,1,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,B6,2017-10-15,52,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-24,1,B7,2017-10-15,52,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E11,2017-10-18,49,0,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,B9,2017-10-18,41,0,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,F4,2017-10-19,42,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,B4,2017-10-19,51,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E11,2017-10-20,51,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,F4,2017-10-20,51,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,A8,2017-10-20,52,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C9,2017-10-20,50,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,B8,2017-10-21,53,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,B3,2017-10-21,52,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,A5,2017-10-22,54,0,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,B3,2017-10-22,53,0,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,C7,2017-10-23,52,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,B2,2017-10-23,54,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D10,2017-10-23,54,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,A10,2017-10-24,55,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C2,2017-10-25,55,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A8,2017-10-25,55,,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,B1,2017-10-25,48,,Apple,,RT,,,,,,,,,,,,,,
2017-09-23,2,H8,2017-10-26,33,,Haw,Should have been placed in trikinetics but it was in the skipped cj=ohort's tupper and was left by mistake in the plate :(,RT,,,,,,,,,,,,,,
2017-08-29,6,B12,2017-10-26,58,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,A6,2017-10-26,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E2,2017-10-26,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,E7,2017-10-26,56,,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,D7,2017-10-26,55,,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,E11,2017-10-26,55,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,A6,2017-10-27,58,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,A10,2017-10-27,58,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D12,2017-10-27,58,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,E2,2017-10-27,58,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,A8,2017-10-27,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C2,2017-10-27,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,E7,2017-10-27,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,G3,2017-10-27,57,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,D12,2017-10-29,60,,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,D2,2017-10-28,60,,Apple,,RT,,,,,,,,5,1,2017-10-30,20:37,2017-11-17,21:49,this individual went directly to free run from the plate (no trikinetics in the room); changed water 2017-11-13 21:36; disturbed to check for deaths 2017-11-15 21:42
2017-08-31,8,G3,2017-10-28,58,,Apple,,RT,,,,,,,,5,8,2017-10-30,20:37,2017-11-28,20:40,this individual went directly to free run from the plate (no trikinetics in the room); changed water 2017-11-17 22:45 
2017-08-31,8,E7,2017-10-26,56,,Apple,,RT,,,,,,,,5,4,2017-10-30,20:37,2017-11-17,21:50,this individual went directly to free run from the plate (no trikinetics in the room)
2017-09-01,9,E7,2017-10-30,59,,Apple,,RT,,,,,,,,5,25,2017-10-30,20:37,2018-02-15,20:01,this individual went directly to free run from the plate (no trikinetics in the room); disturbed to check for death 2017-11-20; changed water 2017-11-28;changed water 2017-12-10 20:00; dsturbed 2018-01-29 20:02; disturbed 2018-02-02 20:03; disturbed 2018-02-10 20:01
2017-09-01,9,C8,2017-10-28,57,,Apple,,RT,,,,,,,,5,31,2017-10-30,20:37,,,this individual went directly to free run from the plate (no trikinetics in the room)
2017-08-30,7,F11,2017-10-29,60,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,G3,2017-10-29,59,,Apple,,RT,,,,,,,,,,,,,,
2017-08-29,6,D2,2017-10-29,61,,Apple,,RT,,,,,,,,,,,,,,
2017-09-07,15,C3,2017-10-29,52,,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,C8,2017-10-29,58,,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,E7,2017-10-30,59,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,C5,2017-10-31,62,,Apple,,RT,,,,,,,,,,,,,,
2017-09-01,9,D9,2017-10-31,60,,Apple,,RT,,,,,,,,,,,,,,
2017-08-30,7,G1,2017-11-01,63,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,C6,2017-11-01,62,,Apple,,RT,,,,,,,,,,,,,,
2017-08-31,8,H10,2017-11-01,62,,Apple,,RT,,,,,,,,,,,,,,
2017-09-22,1,A9,2017-10-19,27,,Haw,,RT,wasp,17,2,19:38,2017-10-30,10:15,changed water 2017-10-26 10:53,,,,,,,
2017-08-24,1,B9,2017-09-27,34,,Apple,,RT,fly,8,2,11:30,2017-10-30,10:16,changed water 2017-10-20 18:08; food changed 2017-10-27 11:54,,,,,,,
2017-09-22,1,A12,2017-10-21,29,,Haw,,RT,wasp,28,2,19:29,2017-10-31,10:46,disturbed to fix cotton ball 2017-10-22 10:16; disturbed to check death 2017-10-30 10:14 and changed water 2017-10-30 11:46,,,,,,,
2017-09-22,1,B8,2017-10-16,24,,Haw,,RT,wasp,3,2,20:16,2017-11-04,18:50,changed water 2017-10-30 11:51,,,,,,,
2017-09-22,1,C10,2017-10-19,27,,Haw,,RT,wasp,10,2,19:38,2017-10-27,10:36,disturbed to check death 2017-10-25 around 9:57,,,,,,,
2017-09-22,1,A4,2017-10-23,31,,Haw,,RT,wasp,7,2,10:54,,,changed water 2017-10-26 10:53,,,,,,,
2017-09-22,1,C5,2017-10-18,26,,Haw,,RT,wasp,4,2,18:19,2017-10-31,10:47,,,,,,,,
2017-09-22,1,B4,2017-10-18,26,,Haw,,RT,wasp,16,1,18:19,2017-11-01,11:01,,,,,,,,
2017-09-22,1,B7,2017-10-18,26,,Haw,,RT,wasp,9,2,18:20,2017-10-20,17:43,,,,,,,,
2017-09-22,1,B2,2017-10-20,28,,Haw,,RT,wasp,30,2,13:08,2017-10-20,17:51,escaped,,,,,,,
2017-09-22,1,B3,2017-10-16,24,,Haw,,RT,wasp,32,1,20:16,2017-01-14,10:18,disturbed to check for deaths 2017-11-14 10:18; disturbed to check for deathh 2017-11-16 10:02 ,,,,,,,
2017-08-30,7,A11,2017-11-02,65,,Apple,,RT,fly,,,,,,,,,,,,,
2017-09-01,9,F7,2017-11-02,63,,Apple ,,RT,fly,,,,,,,,,,,,,
2017-08-30,7,F8,2017-11-04,67,,Apple,,RT,fly,,,,,,,,,,,,,
2017-08-30,7,A4,2017-11-04,67,,Apple,,RT,fly,,,,,,,,,,,,,
2017-08-31,8,F2,2017-11-04,66,,Apple,,RT,fly,,,,,,,,,,,,,
2017-09-01,9,D10,2017-11-04,65,,Apple,,RT,fly,,,,,,,,,,,,,
2017-09-01,9,F5,2017-11-04,65,,Apple,,RT,fly ,,,,,,,,,,,,,
2017-09-01,9,F10,2017-11-05,66,,Apple ,,RT,fly,,,,,,,,,,,,,
2017-08-30,7,E4,2017-11-07,70,,Apple,,RT,fly,,,,,,,,,,,,,
2017-08-31,8,B11,2017-11-07,69,,Apple,,RT,fly,,,,,,,,,,,,,
2017-09-01,9,B6,2017-11-07,68,,Apple ,,RT,fly ,,,,,,,,,,,,,
2017-09-01,9,C6,2017-11-07,68,,Apple,,RT,fly ,,,,,,,,,,,,,
2017-08-30,7,B11,2017-11-08,71,,Apple,,RT,fly ,29,2,10:12,2017-11-13,10:01,,,,,,,,
2017-09-01,9,B11,2017-11-09,70,,Apple,,RT,fly ,,,,,,,,,,,,,
2017-09-01,9,D11,2017-11-09,70,,Apple,,RT,fly ,20,2,10:11,2017-11-13,10:00,,,,,,,,
2017-09-07,15,A6,2017-11-09,63,,Apple,,RT,fly ,27,2,10:14,2017-11-13,10:02,,,,,,,,
2017-08-31,8,G6,2017-11-11,73,,Apple,,RT,fly,22,2,10:11,2017-11-24,11:37,changed water 2017-11-15 10:16; disturbed to check for death 2017-11-19 9:18; death: ran out of water ,,,,,,,
2017-09-01,9,B5,2017-11-11,72,,Apple,,RT,fly,8,1,10:12,2017-11-13,11:03,no water ,,,,,,,
2017-08-30,7,E7,2017-11-13,75,,Apple,,RT,fly,18,2,11:08,,,changed water 2017-11-17 10:42; disturbed to check for death 2017-11-17 9:53; changed water 2017-11-29 10:26 ,,,,,,,
2017-09-01,9,C2,2017-11-13,74,,Apple,,RT,fly,9,2,11:08,,,changed water 2017-11-28 9:59; changed water 2017-12-02 10:01; changed water 2017-12-07 9:39; rearranged position of water tube 2018-01-10 19:20; disturbed to check for death 2018-01-11 10:45; changed water 2018-02-02 13:29; 2018-02-07 disturbed (alive but inbetween water and cotton) 13:05; 2018-02-16 disturbed 13:19; 2018-02-22 changed water 10:47; 2018-02-26 changed food 13:25 ,,,,,,,
2017-09-22,1,C4,2017-11-16,55,,Haw,,RT,fly,20,2,10:00,2017-11-26,12:00,frozen ,,,,,,,
2017-08-31,8,E5,2017-11-16,78,,Apple ,,RT,fly,12,1,10:01,2017-11-26,12:00,frozen ,,,,,,,
2017-09-01,9,A11,2017-11-16,77,,Apple,,RT,fly,8,1,10:01,2017-11-20,12:59,,,,,,,,
2017-09-01,9,B2,2017-11-17,77,,Apple,,RT,fly,2,2,10:40,2018-01-12,19:15,changed water 2017-11-27 11:20 ,,,,,,,
2017-08-31,8,D9,2017-11-29,91,,Apple,,RT,fly,26,1,10:03,2018-01-15,13:13,changed water 2017-12-05 9:38 ,,,,,,,
2017-08-31,8,G9,2017-11-24,86,,Apple ,,RT,fly,22,2,12:14,2018-01-08,10:40,disturbed to check for death 2017-11-27 10:15; changed water 2017-12-04 10:42,,,,,,,
2017-08-31,8,G12,2017-11-24,86,,Apple,,RT,fly ,7,2,12:14,2018-03-20,13:00 PM,disturbed to check for death 2017-12-03; changed water 2018-02-13 14:02; disturbed to check for death 2018-03-19 13:14 ,,,,,,,
2017-08-29,6,A7,2017-11-24,88,,Apple ,,RT,fly ,26,2,12:14,2017-11-26,12:00,frozen ,,,,,,,
2017-09-01,9,E4,2017-11-24,85,,Apple,,RT,fly ,24,2,12:14,2018-01-11,10:44,changed water 2017-12-06 9:32 ,,,,,,,
2017-09-22,1,C1,2017-11-24,63,,Haw,,RT,fly ,32,2,12:14,2017-11-27,10:11,"had water but cotton dry, no access to water ",,,,,,,
2017-08-31,8,F1,2017-11-22,84,,Apple,,RT,fly,6,2,14:34,2017-11-27,10:13,,,,,,,,
2017-08-31,8,C5,2017-12-05,97,,Apple ,,RT,fly,3,1,9:37,2018-02-10,19:50,changed water 2018-02-02 13:33 ,,,,,,,
2017-09-22,1,A7,2017-12-01,70,,Haw,,RT,fly,4,2,10:36,,,changed water 2017-12-05 9:40; distubed to check for death 2018-02-02 12:57; disturbed to check for death 2018-02-04 8:46; disturbed to check for death 2018-02-13 13:12; changed water 2018-02-13 14:04; changed water 2018-02-13 14:09 ,,,,,,,
2017-08-31,8,E10,2017-12-01,93,,Apple,,RT,fly,5,2,10:36,2017-11-20,11:19,,,,,,,,
2017-09-22,1,A10,2017-12-07,76,,Haw,,RT,fly,6,1,9:29,,,,,,,,,,
2017-08-31,8,H5,2018-01-22,144,,Apple,,RT,fly,1,1,13:34,,,,,,,,,,
2017-09-01,9,unknown ,2018-02-02,155,,Apple,,RT,wasp,25,1,13:28,2018-02-10,19:51,,,,,,,,
2017-09-22,1,A2,2018-02-25,156,,Haw,,RT,wasp,18,1,18:57,2018-02-26,12:49,stuck in cotton ,,,,,,,
2017-09-22,1,C1,2018-03-17,28,,Haw,,SO,fly,5,2,20:31,2018-03-20,13:01,smashed between water opening and tube ,,,,,,,
2017-08-30,7,D5,2018-03-25,179,,Apple,,RT,wasp,8,6,19:50,,,,,,,,,,
